
"INSTRMNT_TYPE","ISIN","SHRT_NAME","REINVESTMENT_OPTION","DIVIDEND_PERIODICITY"
"Collective Investment","GB00B772RM82","ROYAL LONDON UTM GLOBAL INDEX LINKED M INC","Distribution","Bi_Annual"
"Collective Investment","GB00B817DW83","THREADNEEDLE INV EMERGING MARKETS BOND FUND Z INC GBP","Distribution","Bi_Annual"
"Collective Investment","GB00B39VH692","IFSL TILNEY BESTINVEST DEFENSIVE PORTFOLIO RETL INC GBP","Distribution","Bi_Annual"
"Collective Investment","GB00B61M9437","JPMORGAN AM UK LTD NATURAL RESOURCES NET C INC GBP","Distribution","Year"
"Collective Investment","US9229081081","VANGUARD INDEX TST 500 PORT NPV USD","Distribution","Quarter"
"Collective Investment","GB0005800635","BLACKROCK GLOBAL MULTI ASSET INCOME FUND CLASS A INC SUSP","Distribution","Month"
"Collective Investment","GB00B0GHCC05","THREADNEEDLE INV EUROP SMLR COS NET INC GBP","Distribution","Year"
"Collective Investment","IE00B0V9T193","PIMCO GIS TOTAL RETURN BOND FD INST","Distribution","Quarter"
"Collective Investment","IE00BF5KV402","WAVERTON EUROPEAN DIVIDEND GROWTH FUND L GBP INC","Distribution","Bi_Annual"
"Collective Investment","HK0000288867","VALUE PARTNERS HIGH DIVIDEND STOCKS CLASS A2 INC","Distribution","Month"
"Collective Investment","IE00B3FH9T88","POLAR CAPITAL JAPAN I USD","Distribution","Year"
"Collective Investment","GB0030882079","JPM AM UK LTD UK EQUITY&BOND INC A GBP","Distribution","Quarter"
"Collective Investment","LU1508476725","ALLIANZ GLB INVEST GLOBAL EQUITY INSIGHTS A INC","Distribution","Year"
"Collective Investment","LU0955669360","SCHRODER INTL SEL-AS.DIV.MAX(A)MF","Distribution","Month"
"Collective Investment","IE00BYPJ0V09","BROWN ADVISORY FDS GLOBAL LEADERS B GBP INC","Distribution","Year"
"Collective Investment","GB00B0XWNQ97","ASI UK MID-CAP EQUITY A DIS","Distribution","Bi_Annual"
"Collective Investment","LU1740284432","JUPITER ASSET(LUX) DYNAMIC BOND D INC","Distribution","Month"
"Collective Investment","GB0003863353","Fidelity Inv Serv UK Ltd MoneyBuilder Growth Fund","Distribution","Bi_Annual"
"Collective Investment","GB00BLF9TN47","MI BREWIN DOLPHIN VOYAGER MAX 40% EQUITY A INC","Distribution","Quarter"
"Collective Investment","GB00B1Z2MX45","THREADNEEDLE INV GBL EQTY INC INSTL NET INC","Distribution","Quarter"
"Collective Investment","GB00B1KHL598","ST JAMES PLACE UT PROPERTY FD INC GBP","Distribution","Quarter"
"Collective Investment","LU1125349974","JANUS HENDERSON CONTINENTAL EUROPEAN FUND H€ DIST H1 EUR","Distribution","Bi_Annual"
"Collective Investment","IE00BBPJD213","INVESCO AM IRL ASIAN EQUITY Z ACC USD","Distribution","Year"
"Collective Investment","GB00BJMXGY51","QUILTER INVEST LTD MNTHLY INC & GWTH PFOLIO U1","Distribution","Month"
"Collective Investment","GB00B1H05049","M&G SECURITIES LTD OPTIMAL INCOME A INC GBP","Distribution","Bi_Annual"
"Collective Investment","GB00B8N46M88","INVESCO UK EQUITY HIGH INCOME FUND UK INCOME Z SHARES","Distribution","Bi_Annual"
"Collective Investment","GB0007649428","ST. JAMES PLACE CORP BD INC GBP","Distribution","Quarter"
"Collective Investment","LU0052588471","FIDELITY EUROPEAN MULTI ASSET INCOME A INC","Distribution","Year"
"Collective Investment","GB0005857908","BAILLIE GIFFORD UK EQTY ALPHA B NET GBP DIS","Distribution","Bi_Annual"
"Collective Investment","LU0053666078","JPMF A JPMF AMERICA EQUITY A USD","Distribution","Year"
"Collective Investment","GB0001920486","JANUS HENDERSON INVESTME FIXED INTEREST MONTHLY INCOME FUND INC","Distribution","Month"
"Collective Investment","GB00B6TQN017","ASI GLOBAL REAL ESTATE SHARE U","Distribution","Quarter"
"Collective Investment","GB00B87GRQ11","LIONTRUST INV FUNDS SPECIAL SITUATIONS A INC GBP","Distribution","Year"
"Collective Investment","LU0839534970","AMUNDI LUXEMBOURG BOND GLOBAL AGGREGATE RU DI","Distribution","Year"
"Collective Investment","LU1777194124","PICTET CLEAN ENERGY I DY USD INC","Distribution","Year"
"Collective Investment","GB00B3L7S958","ASI EUROPE EX UK INCOME EQUITY (SHARE CLASS I) INC -U3","Distribution","Quarter"
"Collective Investment","GB00BFPBZR47","INVEST FD SERV LTD TILNEY BESTINV AGG GTH PTF","Distribution","Bi_Annual"
"Collective Investment","LU0048588080","FIDELITY NORDIC FUND A SEK","Distribution","Year"
"Collective Investment","GB0005804504","BLACKROCK FUND MGRS LTD CONTINENTAL EUROPEAN A INC GBP","Distribution","Year"
"Collective Investment","GG00BWX5HL53","MALBOROUGH UK MULTI-CAP GROWTH CELL C INC","Distribution","Year"
"Collective Investment","IE00BPT2BR59","VANGUARD INV SER UK GOV BD IDX INSTL PLS INC","Distribution","Quarter"
"Collective Investment","GB00BJMXGV21","QUILTER INVEST LTD MNTHLY INCOME PFOLIO U1 INC ACC","Distribution","Month"
"Collective Investment","GB00BF4JM237","NINETY ONE GLOBAL TOTAL RETURN CREDIT I","Distribution","Quarter"
"Collective Investment","GB00B57TMD12","LIONTRUST INV FUNDS UK SMALLER COS INC GBP","Distribution","Year"
"Collective Investment","GB0034155712","LEGAL AND GENERAL UT MGMT ALL STOCKS INDEX LINKED GILT INDEX TRUST INC I (M) GBP SUSP","Distribution","Bi_Annual"
"Collective Investment","GB00B6XMG731","ST JAMES PLACE UT GBLEQ INCOME INC GBP","Distribution","Quarter"
"Collective Investment","LU1534104291","AMUNDI FDS SICAV EMG MKTS HARD CURR BD INC A2","Distribution","Month"
